,vertexID,X.x,vertexCentrDegree,vertexCentrCloseness,vertexCentrBetweenness,vertexPageRank,vertexHub,vertexAuthority,Ranking,X.y,cluster,btw_centrality,vertexCentrEigen
41,BALLROKEACH SJ 1985,BALLROKEACH SJ 1985,0.028052805,0.22254866,0.000356919,0.0010367,0.040902569,0.040902569,481,224,5,83.20030979,0.040902569
113,BOURDIEU P 1986,BOURDIEU P 1986,0.133663366,0.253450439,0.009885433,0.003656841,0.480114721,0.480114721,19,24,3,1913.450107,0.480114721
193,CONTRACTOR NS 1990,CONTRACTOR NS 1990,0.087458746,0.2424,0.005246975,0.00257736,0.190523274,0.190523274,110,419,9,1062.965301,0.190523274
277,FULK J 1993,FULK J 1993,0.087458746,0.240571655,0.003440783,0.002618676,0.20060477,0.20060477,112,566,9,627.5487432,0.20060477
400,KRACKHARDT D 1987,KRACKHARDT D 1987,0.077557756,0.235522736,0.00832039,0.002588303,0.107934976,0.107934976,147,63,1,1591.654737,0.107934976
146,BURT R 2005,BURT R 2005,0.133663366,0.253238613,0.011197452,0.003857852,0.310542712,0.310542712,30,77,3,2157.937823,0.310542712
48,BARABASI AL 1999,BARABASI AL 1999,0.125412541,0.251035626,0.008183455,0.003364313,0.364805728,0.364805728,31,49,3,1688.417981,0.364805728
329,HANNEMAN ROBERT 2005,HANNEMAN ROBERT 2005,0.123762376,0.25281602,0.010518333,0.00347679,0.357317525,0.357317525,28,80,3,1990.544635,0.357317525
125,BRODER A 2000-1,BRODER A 2000-1,0.074257426,0.232272901,0.004110409,0.002326207,0.117626113,0.117626113,160,55,1,832.4577084,0.117626113
64,BARNETT GEORGE 2005,BARNETT GEORGE 2005,0.072607261,0.24317817,0.002134357,0.002204654,0.158981434,0.158981434,141,54,1,356.6685692,0.158981434
218,DE MAEYER 2013,DE MAEYER 2013,0.072607261,0.239620403,0.002409255,0.002109345,0.163372116,0.163372116,146,59,1,427.4741684,0.163372116
349,HIMELBOIM I 2010,HIMELBOIM I 2010,0.070957096,0.240095087,0.001509962,0.002040505,0.174627018,0.174627018,144,62,1,308.888964,0.174627018
457,MCPHERSON M 2001,MCPHERSON M 2001,0.118811881,0.252394835,0.00847516,0.003410037,0.281267081,0.281267081,45,220,3,1671.055664,0.281267081
404,KRAUT R 1998,KRAUT R 1998,0.115511551,0.249280132,0.003417299,0.003065118,0.490639349,0.490639349,24,374,3,722.2405887,0.490639349
180,CHASEDUNN C 1995,CHASEDUNN C 1995,0.064356436,0.232897771,0.001422239,0.001980773,0.122350385,0.122350385,183,58,1,325.1674067,0.122350385
570,TAKHTEYEV Y 2012,TAKHTEYEV Y 2012,0.062706271,0.237089202,0.002515251,0.001898783,0.127309186,0.127309186,171,67,1,558.5300348,0.127309186
481,NEWMAN M 2010,NEWMAN M 2010,0.057755776,0.242594075,0.001257528,0.001794643,0.151045519,0.151045519,164,157,1,318.0140771,0.151045519
591,WEBSTER JG 1985,WEBSTER JG 1985,0.057755776,0.236903831,0.001330978,0.001756363,0.120642239,0.120642239,191,69,1,313.3234698,0.120642239
418,LEE S 2007,LEE S 2007,0.056105611,0.241434263,0.001036778,0.00174357,0.12726452,0.12726452,185,65,1,237.9042661,0.12726452
3,ACKLAND R 2009,ACKLAND R 2009,0.052805281,0.223616236,0.000508217,0.001639668,0.091357568,0.091357568,292,48,1,117.8841807,0.091357568
61,BARNETT GA 2005,BARNETT GA 2005,0.085808581,0.231917336,0.002660043,0.002329066,0.28263098,0.28263098,89,112,10,559.7157625,0.28263098
62,BARNETT GA 2011,BARNETT GA 2011,0.052805281,0.223616236,0.000508217,0.001639668,0.091357568,0.091357568,293,53,1,117.8841807,0.091357568
50,BARNETT G 1996,BARNETT G 1996,0.051155116,0.231209462,0.000910848,0.001686421,0.100323197,0.100323197,251,467,1,187.8115873,0.100323197
63,BARNETT GA 2014,BARNETT GA 2014,0.051155116,0.229719484,0.000716748,0.001596884,0.088830941,0.088830941,284,52,1,115.0204214,0.088830941
540,SCOTT J 2000,SCOTT J 2000,0.115511551,0.249075216,0.009417585,0.003457253,0.238288255,0.238288255,57,162,3,1916.010079,0.238288255
66,BARZILAI-NAHON K 2008,BARZILAI-NAHON K 2008,0.044554455,0.238301219,0.001175984,0.001457335,0.094712634,0.094712634,273,297,2,242.6624871,0.094712634
358,HOFSTEDE G 1991,HOFSTEDE G 1991,0.080858086,0.240285488,0.00282187,0.002429905,0.178646795,0.178646795,126,488,9,670.5874256,0.178646795
68,BAYM NANCY 2000,BAYM NANCY 2000,0.04620462,0.237926973,0.004176832,0.001634137,0.101202932,0.101202932,217,16,5,806.1560872,0.101202932
69,BAYM NK 1998,BAYM NK 1998,0.03960396,0.223451327,0.000786858,0.001375234,0.067825474,0.067825474,384,441,5,168.3838966,0.067825474
70,BAYM NK 2004,BAYM NK 2004,0.04290429,0.22705133,0.000533733,0.001434847,0.087034344,0.087034344,330,482,5,116.7571785,0.087034344
429,LIN N 2001,LIN N 2001,0.113861386,0.25,0.00312112,0.003059222,0.482032276,0.482032276,25,338,3,683.4954385,0.482032276
529,ROGERS E 1981,ROGERS E 1981,0.110561056,0.249588138,0.007986949,0.003252708,0.296635062,0.296635062,50,398,3,1351.102965,0.296635062
73,BENFORD RD 2000,BENFORD RD 2000,0.02310231,0.215046132,7.17E-05,0.000903202,0.035857738,0.035857738,545,354,2,16.37187117,0.035857738
4,ACKLAND R 2010,ACKLAND R 2010,0.107260726,0.247346939,0.001781551,0.002799708,0.498788642,0.498788642,26,454,3,458.1808844,0.498788642
75,BENKLER Y 2006-1,BENKLER Y 2006-1,0.165016502,0.25831202,0.032041075,0.004936274,0.325171058,0.325171058,15,19,2,5188.521719,0.325171058
76,BENKLER Y 2006-2,BENKLER Y 2006-2,0.041254125,0.227136432,0.002731762,0.001531893,0.046805717,0.046805717,379,414,5,561.3232706,0.046805717
77,BENNETT WL 1990,BENNETT WL 1990,0.051155116,0.234792716,0.003368237,0.001701125,0.084360858,0.084360858,246,33,2,609.6123701,0.084360858
78,BENNETT WL 2008,BENNETT WL 2008,0.099009901,0.248768473,0.007413125,0.00292166,0.164886044,0.164886044,99,32,7,1415.600069,0.164886044
79,BENNETT WL 2012,BENNETT WL 2012,0.097359736,0.248768473,0.006785752,0.002897096,0.206993391,0.206993391,86,71,2,1120.650862,0.206993391
80,BENSON R 2005,BENSON R 2005,0.04290429,0.227905228,0.000113366,0.001423055,0.068460879,0.068460879,363,204,2,28.56647173,0.068460879
81,BENTIVEGNA S 2002,BENTIVEGNA S 2002,0.04620462,0.233256351,0.001684051,0.001497103,0.138706346,0.138706346,204,455,4,320.2573203,0.138706346
300,GLASER B 1967,GLASER B 1967,0.102310231,0.247044435,0.009228456,0.003172034,0.143228152,0.143228152,98,122,8,1888.832954,0.143228152
582,VARNELIS K 2008,VARNELIS K 2008,0.061056106,0.234792716,0.001719535,0.001991707,0.080236497,0.080236497,223,276,8,396.6254368,0.080236497
84,BIDDIX JP 2008,BIDDIX JP 2008,0.117161716,0.245841785,0.002971049,0.00294994,0.56997027,0.56997027,20,369,10,613.5011698,0.56997027
199,CORMAN SR 2002,CORMAN SR 2002,0.107260726,0.244059605,0.007855916,0.003031205,0.309054537,0.309054537,53,267,3,1385.114144,0.309054537
249,EMIRBAYER M 1994,EMIRBAYER M 1994,0.107260726,0.247346939,0.010795518,0.003338789,0.194369374,0.194369374,75,438,3,2117.452531,0.194369374
87,BIMBER B 2003-2,BIMBER B 2003-2,0.02310231,0.208032956,0.000425609,0.000967954,0.025049986,0.025049986,564,411,4,83.99187026,0.025049986
88,BIMBER B 2005,BIMBER B 2005,0.105610561,0.239431055,0.001472269,0.002660941,0.432453121,0.432453121,36,243,10,255.3847817,0.432453121
601,WELLMAN B 2001-2,WELLMAN B 2001-2,0.105610561,0.246742671,0.002051792,0.00279735,0.460571249,0.460571249,29,342,3,502.7763869,0.460571249
56,BARNETT GA 1995,BARNETT GA 1995,0.044554455,0.229024943,0.000611536,0.001497713,0.07280954,0.07280954,340,111,1,100.1036318,0.07280954
91,BLIZZARD ENTERTAINMENT 2010,BLIZZARD ENTERTAINMENT 2010,0.021452145,0.223286662,0.000186741,0.000826826,0.051028416,0.051028416,506,389,5,51.53584859,0.051028416
92,BLONDEL D 2008,BLONDEL D 2008,0.03630363,0.228851964,0.001086086,0.001262571,0.058342206,0.058342206,401,114,2,225.1774507,0.058342206
93,BLUMLER J 2001,BLUMLER J 2001,0.02640264,0.209037599,0.00077259,0.001124775,0.021624791,0.021624791,553,561,4,156.1759703,0.021624791
94,BOLLEN K 1989,BOLLEN K 1989,0.014851485,0.202947086,0.000343092,0.000839898,0.007766798,0.007766798,587,107,4,66.54343068,0.007766798
385,KATZ E 1955,KATZ E 1955,0.103960396,0.251975052,0.013769738,0.003235359,0.227056041,0.227056041,60,21,3,2770.36663,0.227056041
508,PORTES A 1998,PORTES A 1998,0.102310231,0.247145188,0.002648638,0.002731818,0.447906513,0.447906513,32,473,3,610.8864358,0.447906513
97,BONEVA B 2006,BONEVA B 2006,0.047854785,0.229981025,0.000709588,0.001552826,0.104903001,0.104903001,268,483,5,174.6113476,0.104903001
602,WILLIAMS D 2006-1,WILLIAMS D 2006-1,0.100660066,0.242885772,0.001720689,0.002661128,0.448268161,0.448268161,34,385,3,367.7951256,0.448268161
213,DANOWSKI J 1993,DANOWSKI J 1993,0.097359736,0.246041413,0.006148571,0.002739888,0.417846769,0.417846769,35,196,3,1345.902552,0.417846769
351,HINDMAN M 2008,HINDMAN M 2008,0.097359736,0.251035626,0.004680334,0.002745957,0.289113172,0.289113172,64,259,3,1020.596288,0.289113172
563,STRAUBHAAR J 2007,STRAUBHAAR J 2007,0.04290429,0.22246696,0.001012445,0.001437163,0.062779496,0.062779496,381,66,1,224.0958963,0.062779496
102,BORGATTI S 2009,BORGATTI S 2009,0.04950495,0.236073237,0.000811417,0.001573069,0.090427971,0.090427971,269,326,7,171.2394489,0.090427971
103,BORGATTI SP 1992,BORGATTI SP 1992,0.02970297,0.232361963,0.000359788,0.001065037,0.078737688,0.078737688,394,538,5,87.31088457,0.078737688
104,BORGATTI SP 1997,BORGATTI SP 1997,0.034653465,0.232451093,0.000342931,0.001166306,0.08918627,0.08918627,351,76,5,96.05926918,0.08918627
105,BORGATTI SP 1999,BORGATTI SP 1999,0.052805281,0.226881318,0.002092941,0.001715815,0.065828643,0.065828643,311,327,7,467.12323,0.065828643
572,THELWALL M 2009,THELWALL M 2009,0.095709571,0.246041413,0.002240609,0.002525022,0.457977305,0.457977305,33,463,3,505.0644621,0.457977305
575,TURNER J 1987,TURNER J 1987,0.074257426,0.23625731,0.001665519,0.00222192,0.176810726,0.176810726,138,573,9,275.8812834,0.176810726
108,BORGATTI SP 2003-2,BORGATTI SP 2003-2,0.075907591,0.242594075,0.001469915,0.002001128,0.341511757,0.341511757,80,396,10,360.0271569,0.341511757
156,BYRNE D 1971,BYRNE D 1971,0.094059406,0.248157248,0.004930259,0.002654429,0.256099339,0.256099339,81,244,3,1058.758176,0.256099339
515,QUAN- HAASE 2002,QUAN- HAASE 2002,0.092409241,0.243961353,0.001707019,0.002458163,0.418941206,0.418941206,41,491,3,439.5592274,0.418941206
119,BOYD D 2012,BOYD D 2012,0.059405941,0.240380801,0.002712821,0.001939325,0.082888745,0.082888745,202,2,8,575.4593806,0.082888745
112,BOURDIEU P 1984,BOURDIEU P 1984,0.090759076,0.246041413,0.006623138,0.002745398,0.165878307,0.165878307,109,98,2,1100.725077,0.165878307
519,REESE S 2007,REESE S 2007,0.090759076,0.244749596,0.003775125,0.002535971,0.262411894,0.262411894,85,290,3,764.1330844,0.262411894
114,BOURDIEU P 1988,BOURDIEU P 1988,0.04290429,0.227905228,0.000113366,0.001423055,0.068460879,0.068460879,364,205,2,28.56647173,0.068460879
115,BOURDIEU P 1990,BOURDIEU P 1990,0.04950495,0.230593607,0.001298687,0.001617754,0.073313912,0.073313912,309,402,2,314.4908091,0.073313912
116,BOURDIEU P 1993,BOURDIEU P 1993,0.04290429,0.227905228,0.000113366,0.001423055,0.068460879,0.068460879,365,206,2,28.56647173,0.068460879
82,BERELSON B 1952,BERELSON B 1952,0.054455446,0.230505896,0.001589215,0.001772839,0.067380607,0.067380607,290,234,8,333.9634244,0.067380607
