,vertexID,X.x,vertexCentrDegree,vertexCentrCloseness,vertexCentrEigen,vertexCentrBetweenness,vertexPageRank,vertexHub,vertexAuthority,Ranking,X.y,cluster,btw_centrality
89,"HYUN KD, 2012","HYUN KD, 2012",0.149812734,0.014767699,0.445487168,0.013434363,0.008100264,0.445487168,0.445487168,38,117,6,540.6014438
41,"DAHLBERG L, 2007","DAHLBERG L, 2007",0.029962547,0.014686469,0.04670972,0.000757074,0.002423519,0.04670972,0.04670972,154,172,4,37.24828095
42,"DAVID CC, 2010","DAVID CC, 2010",0.026217228,0.014668718,0.04137539,0.000151936,0.002150435,0.04137539,0.04137539,159,148,5,4.09886605
111,"LEE S, 2007","LEE S, 2007",0.086142322,0.014738353,0.251660132,0.002056976,0.004698962,0.251660132,0.251660132,83,173,3,104.4608221
116,"LIM YS, 2013","LIM YS, 2013",0.194756554,0.014781598,0.639690372,0.021471417,0.010160942,0.639690372,0.639690372,9,109,1,717.4311839
143,"PARK HW, 2008-2","PARK HW, 2008-2",0.194756554,0.014779143,0.78436063,0.007018914,0.00920819,0.78436063,0.78436063,18,169,1,325.1625851
58,"FEELEY TH, 2000","FEELEY TH, 2000",0.191011236,0.014776689,0.834109116,0.003356935,0.008803019,0.834109116,0.834109116,20,201,1,119.2648246
126,"MEJIAS UA, 2010","MEJIAS UA, 2010",0.191011236,0.014779961,0.709174152,0.012382968,0.009334968,0.709174152,0.709174152,17,145,1,521.8398102
140,"PARK HW, 2004","PARK HW, 2004",0.191011236,0.01477015,0.775872775,0.003993714,0.008762071,0.775872775,0.775872775,23,189,1,185.9355928
49,"DOERFEL ML, 2003","DOERFEL ML, 2003",0.003745318,0.01454803,0.005598123,0,0.000911418,0.005598123,0.005598123,199,193,33,0
119,"LINDGREN S, 2016","LINDGREN S, 2016",0.146067416,0.01477015,0.390104929,0.012681489,0.008044911,0.390104929,0.390104929,45,43,6,425.1232109
2,"ARIE Y, 2016","ARIE Y, 2016",0.187265918,0.014775872,0.698288051,0.005965996,0.008895275,0.698288051,0.698288051,25,32,1,222.2271446
188,"WANG R, 2016","WANG R, 2016",0.142322097,0.01477015,0.505204047,0.004331943,0.007124979,0.505204047,0.505204047,48,52,6,194.3730163
53,"EISENBERG EM, 2015","EISENBERG EM, 2015",0.187265918,0.014779143,0.769212898,0.005589919,0.00884555,0.769212898,0.769212898,21,79,1,296.293003
95,"KAISER J, 2017","KAISER J, 2017",0.074906367,0.014736726,0.181116344,0.00264915,0.004526337,0.181116344,0.181116344,96,20,2,108.8434
134,"NEUMAYER C, 2016","NEUMAYER C, 2016",0.074906367,0.014727784,0.151964833,0.004839182,0.004734096,0.151964833,0.151964833,95,53,2,146.7923627
56,"ESTERLING KM, 2011","ESTERLING KM, 2011",0.02247191,0.014684046,0.057216624,0.000793147,0.00207696,0.057216624,0.057216624,155,141,11,24.70636685
104,"KROPCZYNSKI J, 2011","KROPCZYNSKI J, 2011",0.123595506,0.014753011,0.391900949,0.002517985,0.006134516,0.391900949,0.391900949,65,136,7,107.42636
105,"KSIAZEK TB, 2011","KSIAZEK TB, 2011",0.187265918,0.014775054,0.762992628,0.009917953,0.009262875,0.762992628,0.762992628,16,140,1,401.1287941
196,"WOO-YOUNG C, 2012","WOO-YOUNG C, 2012",0.116104869,0.014752196,0.363220061,0.00309052,0.005915524,0.363220061,0.363220061,69,131,7,133.4843948
60,"FESTL R, 2015","FESTL R, 2015",0.011235955,0.01458857,0.010137473,0.000102206,0.001800042,0.010137473,0.010137473,177,62,9,0.047619048
18,"BRYANT JA, 2006","BRYANT JA, 2006",0.112359551,0.014745678,0.399152507,0.002044575,0.005563275,0.399152507,0.399152507,67,181,7,65.63157848
62,"FLEW T, 2015","FLEW T, 2015",0.02247191,0.014680816,0.042424832,0.000273865,0.001907393,0.042424832,0.042424832,163,69,4,11.63388141
6,"BARNETT GA, 2005","BARNETT GA, 2005",0.082397004,0.014733473,0.283457882,0.000944484,0.004317645,0.283457882,0.283457882,84,182,3,14.37233689
198,"XU WW, 2016","XU WW, 2016",0.187265918,0.014776689,0.721856603,0.008477993,0.008986673,0.721856603,0.721856603,22,50,1,325.2881766
40,"D'HEER E, 2016","D'HEER E, 2016",0.123595506,0.014749751,0.307296204,0.009153721,0.006942292,0.307296204,0.307296204,62,31,6,398.0774919
66,"GERKEN F, 2016","GERKEN F, 2016",0.059925094,0.014709933,0.089170206,0.010622118,0.004981356,0.089170206,0.089170206,94,25,5,313.0520285
163,"SHEN C, 2015","SHEN C, 2015",0.179775281,0.014772602,0.691066335,0.010481793,0.008878739,0.691066335,0.691066335,24,73,1,324.64778
127,"MESCH GS, 2012","MESCH GS, 2012",0.176029963,0.014772602,0.592485093,0.01327158,0.009165773,0.592485093,0.592485093,26,118,1,507.7273197
69,"GIOVANNETTI E, 2015","GIOVANNETTI E, 2015",0.003745318,0.003745318,0,0,0.004644682,2.37E-18,2.37E-18,203.5,65,16,0
70,"GOETZ G, 2013","GOETZ G, 2013",0.003745318,0.003745318,0,0,0.004644682,2.37E-18,2.37E-18,205.5,98,16,0
43,DE MAEYER 2013,DE MAEYER 2013,0.078651685,0.014723723,0.178646289,0.005070035,0.004818413,0.178646289,0.178646289,89,105,3,220.1884031
72,"GRABE ME, 2015","GRABE ME, 2015",0.011235955,0.014637355,0.020402347,0.005639386,0.002219089,0.020402347,0.020402347,148,71,22,200.9110501
73,"GRILL C, 2017","GRILL C, 2017",0.026217228,0.014667912,0.035993482,0.000340856,0.002216364,0.035993482,0.035993482,160,3,4,17.30838804
74,"HAYDEN C, 2013","HAYDEN C, 2013",0.011235955,0.014464489,0.000442867,0,0.003485955,0.000442867,0.000442867,167,113,13,0
75,"HEIRMAN W, 2015","HEIRMAN W, 2015",0.007490637,0.014576623,0.009084459,0,0.001390828,0.009084459,0.009084459,191,68,9,0
204,"ZHANG W, 2010","ZHANG W, 2010",0.123595506,0.014764433,0.340661537,0.008940608,0.006872927,0.340661537,0.340661537,59,152,6,372.8309611
13,"BONINI T, 2016","BONINI T, 2016",0.097378277,0.014748122,0.259520055,0.008919919,0.0057739,0.259520055,0.259520055,76,51,6,327.9113803
35,"CHOW-WHITE PA, 2006","CHOW-WHITE PA, 2006",0.172284644,0.014778325,0.615822393,0.029769078,0.009213577,0.615822393,0.615822393,7,174,1,1082.8643
